ItemTekstMan,Item,Focus,QuestAns,ItemTekst,Version,CorrAns,questions,ChangeWord2ndpres,Cleft,ChangeWord1thpres,type,Ynans,ID,n,ChangeResponse_raw,QuestResponse.rt_mean,QuestResponse.rt_raw,QuestResponse.rt_std,YNResp.corr_mean,YNResp.corr_raw,YNResp.corr_std,YNResp.keys_raw,YNResp.rt_mean,YNResp.rt_raw,YNResp.rt_std,changeResponse.corr_mean,changeResponse.corr_raw,changeResponse.corr_std,changeResponse.rt_mean,changeResponse.rt_raw,changeResponse.rt_std,quest_response_raw,order,Education,Participant,gender,frameRate,Age,List,date,reading language,expName,handedness,Native language
Vi havde lavet sådan nogle valg i klassen hvor vi kunne stemme om hvem vi gerne ville komme i klasse med         ,f2,n/a,n/a,Vi havde lavet sådan nogle valg i klassen hvor vi kunne stemme om hvem vi gerne ville komme i klasse med         ,f,,0,,n/a,ingen,filler,0,f2,1,u'g\xe5',0.026970096,0.026970096,0,0,0,0,'1',7.179894924,7.179894924,0,0,0,0,6.296546459,6.296546459,0,'',15,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det må også få nogle konsekvenser i retning af hvordan man så behandler folk ikke                  ,f5,n/a,n/a,Det må også få nogle konsekvenser i retning af hvordan man så behandler folk ikke                  ,f,,0,,n/a,ingen,filler,0,f5,1,'forhold',0.020430423,0.020430423,0,0,0,0,'1',3.072181702,3.072181702,0,0,0,0,2.664562464,2.664562464,0,'',27,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
De fik sådan ligesom en fornemmelse af hvad der egentlig skete ikke               ,f6,n/a,n/a,De fik sådan ligesom en fornemmelse af hvad der egentlig skete ikke               ,f,,0,,n/a,ingen,filler,0,f6,1,'',0.014685159,0.014685159,0,1,1,0,'0',3.10773468,3.10773468,0,0,0,0,0.039146312,0.039146312,0,'',10,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Når man kommer hjem så glemmer man hvor er det nu lige skeerne ligger og glassene står                   ,f7,n/a,n/a,Når man kommer hjem så glemmer man hvor er det nu lige skeerne ligger og glassene står                   ,f,,0,,n/a,ingen,filler,0,f7,1,'',0.0170501,0.0170501,0,1,1,0,'0',4.983107567,4.983107567,0,0,0,0,0.033094443,0.033094443,0,'',1,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Min første tanke var jo hvad tænkte han ikke om mig ikke                 ,f9,n/a,n/a,Min første tanke var jo hvad tænkte han ikke om mig ikke                 ,f,,0,,n/a,ingen,filler,0,f9,1,'',0.01462294,0.01462294,0,1,1,0,'0',3.809276819,3.809276819,0,0,0,0,0.031455599,0.031455599,0,'',11,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Så vi har ikke været nødt til at sætte en hel masse grænser for hvad må man og hvad må man ikke                  ,f11,n/a,n/a,Så vi har ikke været nødt til at sætte en hel masse grænser for hvad må man og hvad må man ikke                  ,f,,0,,n/a,ingen,filler,0,f11,1,'',0.015231013,0.015231013,0,1,1,0,'0',3.939484119,3.939484119,0,0,0,0,0.024155512,0.024155512,0,'',0,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Så får jeg jo erstatning for at jeg ikke kan bøje den og strække den helt som den skal     ,f14,n/a,n/a,Så får jeg jo erstatning for at jeg ikke kan bøje den og strække den helt som den skal     ,f,,0,,n/a,ingen,filler,0,f14,1,'',0.014669123,0.014669123,0,1,1,0,'0',2.873211861,2.873211861,0,0,0,0,0.039072227,0.039072227,0,'',47,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
De føler at de bare kan trampe på dem der ikke er så populære     ,f17,n/a,Dem der ikke er populære,De føler at de bare kan trampe på dem der ikke er så populære     ,f,,Hvem trampes på?,,n/a,ingen,filler,0,f17,1,'',7.992353439,7.992353439,0,1,1,0,'0',3.576731443,3.576731443,0,0,0,0,0.032538649,0.032538649,0,u'dem der ikke er s\xe5 popul\xe6re',25,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
På mit gymnasie der er det faktisk blevet ændret med at piger de godt kan få lov til at springe         ,f18,n/a,piger,På mit gymnasie der er det faktisk blevet ændret med at piger de godt kan få lov til at springe         ,f,,Hvem må springe?,,n/a,ingen,filler,0,f18,1,'',4.96101141,4.96101141,0,1,1,0,'0',6.115653038,6.115653038,0,0,0,0,0.033550821,0.033550821,0,'piger',26,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Jeg tror jeg en enkelt gang har fået en bemærkning om at nu er der vist kommet lidt Århus ind i sproget mens jeg boede dernede,f19,n/a,n/a,Jeg tror jeg en enkelt gang har fået en bemærkning om at nu er der vist kommet lidt Århus ind i sproget mens jeg boede dernede,f,,0,,n/a,ingen,filler,0,f19,1,'',0.014949427,0.014949427,0,1,1,0,'0',7.360563755,7.360563755,0,0,0,0,0.048073698,0.048073698,0,'',41,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
